松田亜利沙	2位	1400000000000094541	おだやかちゃん	2507139
松田亜利沙	3位	900000000000001081	繰生 on 十三段目	2343172
松田亜利沙	4位	300000000000047834	†刹那†	2121087
松田亜利沙	5位	1400000000000097298	すごあるな	2031736
松田亜利沙	6位	96013	八九寺	2012420
松田亜利沙	7位	500000000000013661	めがれ！	2005179
松田亜利沙	8位	1000000000000070864	つな	1926287
松田亜利沙	9位	400000000000101879	アイリス	1918722
松田亜利沙	10位	600000000000085129	やっすー	1891416
高坂海美	1位	400000000000001329	テル	5108390
高坂海美	2位	1500000000000078311	はるや	4169542
高坂海美	3位	500000000000001034	葉室タケ@ありがとうミリオンライブ	3010032
高坂海美	4位	200000000000031108	しるぼく	3008212
高坂海美	5位	400000000000053117	はんしん	2859231
高坂海美	6位	700000000000005189	ガーツー	2238081
高坂海美	7位	1100000000000027783	ねーさま!(マカ	2232707
高坂海美	8位	1300000000000006956	村人Ｅ	2216531
高坂海美	9位	900000000000061796	さとー	2205529
高坂海美	10位	800000000000097239	大鍋	2055115
中谷育	1位	1100000000000056498	ともぼ	5217344
中谷育	2位	100000000000000583	ちや	1919190
中谷育	3位	700000000000011821	としぞ	1900597
中谷育	4位	800000000000021664	ima	1900001
中谷育	5位	800000000000007386	とくほ	1900000
中谷育	6位	600000000000097874	あかね	1900000
中谷育	7位	1500000000000075927	まりも	1900000
中谷育	8位	1400000000000011201	元ベネット＠でもどり	1810462
中谷育	9位	1400000000000006722	ぽーさん	1789809
中谷育	10位	500000000000014178	なかにー＠毒	1722380
天空橋朋花	1位	900000000000000335	ラティーシャ	3908939
天空橋朋花	2位	900000000000042652	たけし	3047937
天空橋朋花	3位	1500000000000017494	ﾊｽﾌﾞﾚﾛー@同僚募集中	2500095
天空橋朋花	4位	100000000000094969	おはた	2202748
天空橋朋花	5位	1100000000000001984	Alice Carroll	2161825
天空橋朋花	6位	200000000000011825	あに@相互埋め同僚募集	2122581
天空橋朋花	7位	300000000000096117	はたは	2076488
天空橋朋花	8位	200000000000086794	ダメヨシ	2070760
天空橋朋花	9位	100000000000096723	小雪初晴@花咲舞	2054802
天空橋朋花	10位	400000000000062797	ロンロン	2046487
エミリー	1位	600000000000052954	いんこねる	3942960
エミリー	2位	1300000000000080871	夕樹	2503704
エミリー	3位	100000000000008078	[天捷星]なか○し	2257922
エミリー	4位	600000000000073780	にんじょば	2162683
エミリー	5位	900000000000000349	メレリア	2129632
エミリー	6位	500000000000013661	めがれ！	2127987
エミリー	7位	1300000000000052509	hassy	2066327
エミリー	8位	600000000000004200	竜党	2058867
エミリー	9位	400000000000014382	フラウ	2032995
エミリー	10位	200000000000006467	オニマル	2012763
北沢志保	1位	1000000000000009307	セイロス@seirosu_peca	4444440
北沢志保	2位	900000000000074793	真庭の某さんP	3803838
北沢志保	3位	1100000000000052849	コジロー	3354286
北沢志保	4位	500000000000092855	プライル@しほかわいい	3226191
北沢志保	5位	100000000000023035	みのりん	2867055
北沢志保	6位	1000000000000080184	ケラロロ	2807062
北沢志保	7位	300000000000094822	micoto	2704640
北沢志保	8位	600000000000000045	課金は必須 意外と難しい まぁ…僕はプロデュースしたいからやるけどね	2658572
北沢志保	9位	1200000000000002459	パンダＰ	2507812
北沢志保	10位	1300000000000080871	夕樹	2506401
舞浜歩	1位	1300000000000073628	ますかつ	3659533
舞浜歩	2位	200000000000085703	ジーニョ	3567123
舞浜歩	3位	1400000000000002120	リバー	2303068
舞浜歩	4位	1000000000000032048	EINOIL	2010740
舞浜歩	5位	800000000000000500	晴美	2003893
舞浜歩	6位	700000000000072157	カイト	2003605
舞浜歩	7位	900000000000000393	レッザ	1709590
舞浜歩	8位	1300000000000012778	あいなま	1655565
舞浜歩	9位	1400000000000055663	寿音	1513748
舞浜歩	10位	400000000000015676	ケル@HHP,EH海美埋め募集	1506296
木下ひなた	1位	400000000000009358	どらすけ	4922967
木下ひなた	2位	700000000000084085	ユウサイP	2031169
木下ひなた	3位	200000000000004824	おおたく	2008072
