チーム松田亜利沙5位	116723 pt
チーム松田亜利沙6位	115030 pt
チーム松田亜利沙7位	114194 pt
チーム松田亜利沙8位	104472 pt
チーム松田亜利沙9位	101541 pt
チーム松田亜利沙10位	100880 pt
チーム松田亜利沙11位	97486 pt
チーム松田亜利沙12位	90340 pt
チーム松田亜利沙13位	84253 pt
チーム松田亜利沙14位	84139 pt
チーム松田亜利沙15位	79791 pt
チーム松田亜利沙16位	79514 pt
チーム松田亜利沙17位	79440 pt
チーム松田亜利沙18位	66819 pt
チーム松田亜利沙19位	65532 pt
チーム松田亜利沙20位	64289 pt
チーム松田亜利沙21位	50413 pt
チーム松田亜利沙22位	49766 pt
チーム松田亜利沙23位	44757 pt
チーム松田亜利沙24位	43734 pt
チーム松田亜利沙25位	43093 pt
チーム松田亜利沙26位	42869 pt
チーム松田亜利沙27位	38809 pt
チーム松田亜利沙28位	28258 pt
チーム松田亜利沙29位	26337 pt
チーム松田亜利沙30位	24868 pt
チーム高坂海美1位	389995 pt
チーム高坂海美2位	315081 pt
チーム高坂海美3位	269986 pt
チーム高坂海美4位	214587 pt
チーム高坂海美5位	201078 pt
チーム高坂海美6位	195267 pt
チーム高坂海美7位	168177 pt
チーム高坂海美8位	133995 pt
チーム高坂海美9位	120074 pt
チーム高坂海美10位	102155 pt
チーム高坂海美11位	90143 pt
チーム高坂海美12位	84913 pt
チーム高坂海美13位	84212 pt
チーム高坂海美14位	81590 pt
チーム高坂海美15位	81137 pt
チーム高坂海美16位	73429 pt
チーム高坂海美17位	70302 pt
チーム高坂海美18位	67398 pt
チーム高坂海美19位	54128 pt
チーム高坂海美20位	51174 pt
チーム高坂海美21位	49358 pt
チーム高坂海美22位	48323 pt
チーム高坂海美23位	47788 pt
チーム高坂海美24位	46666 pt
チーム高坂海美25位	42070 pt
チーム高坂海美26位	41620 pt
チーム高坂海美27位	39154 pt
チーム高坂海美28位	38885 pt
チーム高坂海美29位	38667 pt
チーム高坂海美30位	37967 pt
チーム中谷育1位	960321 pt
チーム中谷育2位	475404 pt
チーム中谷育3位	196778 pt
チーム中谷育4位	187333 pt
チーム中谷育5位	123611 pt
チーム中谷育6位	119813 pt
チーム中谷育7位	100563 pt
チーム中谷育8位	95544 pt
チーム中谷育9位	75021 pt
チーム中谷育10位	65219 pt
チーム中谷育11位	59816 pt
チーム中谷育12位	51300 pt
チーム中谷育13位	49000 pt
チーム中谷育14位	47052 pt
チーム中谷育15位	44459 pt
チーム中谷育16位	44168 pt
チーム中谷育17位	43090 pt
チーム中谷育18位	37157 pt
チーム中谷育19位	32479 pt
チーム中谷育20位	30763 pt
チーム中谷育21位	30286 pt
チーム中谷育22位	26799 pt
チーム中谷育23位	26602 pt
チーム中谷育24位	26382 pt
チーム中谷育25位	25298 pt
チーム中谷育26位	24637 pt
チーム中谷育27位	22447 pt
チーム中谷育28位	18525 pt
チーム中谷育29位	18432 pt
チーム中谷育30位	18334 pt
チーム天空橋朋花1位	784897 pt
チーム天空橋朋花2位	662569 pt
チーム天空橋朋花3位	547324 pt
チーム天空橋朋花4位	453038 pt
チーム天空橋朋花5位	423314 pt
チーム天空橋朋花6位	412173 pt
チーム天空橋朋花7位	273906 pt
チーム天空橋朋花8位	233965 pt
チーム天空橋朋花9位	231363 pt
チーム天空橋朋花10位	227658 pt
チーム天空橋朋花11位	190858 pt
チーム天空橋朋花12位	186002 pt
チーム天空橋朋花13位	159091 pt
チーム天空橋朋花14位	150875 pt
チーム天空橋朋花15位	134047 pt
チーム天空橋朋花16位	130203 pt
チーム天空橋朋花17位	129877 pt
チーム天空橋朋花18位	126044 pt
チーム天空橋朋花19位	111602 pt
チーム天空橋朋花20位	110733 pt
チーム天空橋朋花21位	110324 pt
チーム天空橋朋花22位	107570 pt
チーム天空橋朋花23位	98211 pt
チーム天空橋朋花24位	97179 pt
チーム天空橋朋花25位	95429 pt
チーム天空橋朋花26位	87439 pt
チーム天空橋朋花27位	79556 pt
チーム天空橋朋花28位	76166 pt
チーム天空橋朋花29位	66832 pt
チーム天空橋朋花30位	64677 pt
チームエミリー1位	378503 pt
チームエミリー2位	205251 pt
チームエミリー3位	196108 pt
チームエミリー4位	195759 pt
チームエミリー5位	165915 pt
チームエミリー6位	143139 pt
チームエミリー7位	111522 pt
チームエミリー8位	101197 pt
チームエミリー9位	97090 pt
チームエミリー10位	90249 pt
チームエミリー11位	76837 pt
チームエミリー12位	75465 pt
チームエミリー13位	62309 pt
チームエミリー14位	59013 pt
チームエミリー15位	56213 pt
チームエミリー16位	48698 pt
チームエミリー17位	45405 pt
チームエミリー18位	40603 pt
チームエミリー19位	37937 pt
チームエミリー20位	37542 pt
チームエミリー21位	35399 pt
チームエミリー22位	34345 pt
チームエミリー23位	33579 pt
チームエミリー24位	31648 pt
チームエミリー25位	31154 pt
チームエミリー26位	29431 pt
チームエミリー27位	26588 pt
チームエミリー28位	26202 pt
チームエミリー29位	24429 pt
チームエミリー30位	21948 pt
チーム北沢志保1位	439835 pt
チーム北沢志保2位	219858 pt
チーム北沢志保3位	210469 pt
チーム北沢志保4位	181729 pt
チーム北沢志保5位	180300 pt
チーム北沢志保6位	179151 pt
チーム北沢志保7位	140048 pt
チーム北沢志保8位	132036 pt
チーム北沢志保9位	131112 pt
チーム北沢志保10位	121693 pt
チーム北沢志保11位	120021 pt
チーム北沢志保12位	117018 pt
チーム北沢志保13位	113078 pt
チーム北沢志保14位	103423 pt
チーム北沢志保15位	101122 pt
チーム北沢志保16位	100841 pt
チーム北沢志保17位	92106 pt
チーム北沢志保18位	87444 pt
チーム北沢志保19位	85379 pt
チーム北沢志保20位	85263 pt
チーム北沢志保21位	83143 pt
チーム北沢志保22位	79206 pt
チーム北沢志保23位	76329 pt
チーム北沢志保24位	67061 pt
チーム北沢志保25位	62346 pt
チーム北沢志保26位	62135 pt
